ÉhÉâêî,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,ã«é˚éx,é˚éxîÕàÕ
1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,0,0,0,1,0,0,0,0,0,18300,2
2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,-18300,-2
1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,-1000,-1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,1,1,0,0,1,3000,1
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,-1000,-1
0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,0,0,1,0,1,0,-1000,-1
1,2,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1
1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,-9900,-2
1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,-1
0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,9900,2
2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,-1000,-1
0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-1000,-1
0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,3000,1
0,1,0,1,1,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,-1000,-1
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1000,-1
0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-1
0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,8000,2
0,0,0,2,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,-1
0,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,-1
